,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Total MD-PhD Applicants   ,"1,855 ","1,813 ","1,825","2,091 ","1,793 ","1,795 "
Total MD-PhD Matriculants,672,708,701,750,709,707
