,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Total MCAT,515.6,516.1,516.2,516.2,516.2,516.0
MCAT CPBS,129.0,129.0,129.2,129.1,129.1,129.1
MCAT CARS,128.2,128.2,128.1,128.1,128.0,128.0
MCAT BBLS,129.4,129.5,129.5,129.5,129.5,129.3
MCAT PSBB,129.0,129.4,129.5,129.6,129.6,129.7
